,Title,Published_date,Views,Likes,Favourites,Comments,Month
134,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5095,193,0,56,Sep
135,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4211,157,0,35,Sep
136,The 5 Pillars of Success I Live By,2020-09-11,10129,874,0,152,Sep
137,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1889,78,0,25,Sep
138,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4020,162,0,43,Sep
139,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11786,735,0,144,Sep
140,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17910,569,0,89,Sep
141,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17791,794,0,93,Aug
142,Why I'm Starting Data Science Over Again.,2020-08-29,50716,2604,0,450,Aug
143,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15037,624,0,76,Aug
144,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12733,456,0,55,Aug
145,Don't Buy My Course..,2020-08-21,7330,358,0,146,Aug
146,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29070,1114,0,166,Aug
147,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3230,128,0,40,Aug
148,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6309,537,0,108,Aug
149,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4961,183,0,39,Aug
150,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11910,376,0,53,Aug
151,The Plagiarism Problem in Data Science,2020-08-07,13041,629,0,145,Aug
152,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14375,601,0,89,Aug
153,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4895,188,0,56,Aug
154,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11359,579,0,90,Jul
155,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2313,116,0,34,Jul
156,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5582,251,0,112,Jul
157,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8201,246,0,199,Jul
158,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1851,98,0,27,Jul
159,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28926,564,0,90,Jul
160,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,321530,7185,0,423,Jul
161,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30220,1126,0,121,Jul
162,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3618,135,0,50,Jul
163,The Best Computer for Data Science Beginners,2020-07-10,37606,845,0,157,Jul
164,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6164,230,0,82,Jul
165,Critiquing MY OWN Data Science Resume,2020-07-06,12602,396,0,88,Jul
166,Where to Start Learning Data Science,2020-07-03,18689,782,0,126,Jul
167,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4111,196,0,37,Jul
168,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4570,176,0,52,Jun
169,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16189,547,0,79,Jun
170,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2405,82,0,40,Jun
171,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2385,139,0,49,Jun
172,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4338,168,0,46,Jun
173,Why You're Struggling to Learn Data Science,2020-06-12,15232,1011,0,159,Jun
174,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11548,355,0,70,Jun
175,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23707,683,0,146,Jun
176,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5698,155,0,53,Jun
177,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,70799,2166,0,268,May
178,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20961,489,0,81,May
179,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54534,1948,0,178,May
180,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11236,178,0,55,May
